League,Season,Name,Position,Draft.Eligible,Team,Height,Birth Date,GP,G,A1,A2,PTS,PRIMARY.PTS,TEAM.PRIMARY.PTS,PERC.TEAM.PrPTS,Shots,Team.Shots,SH.PERC,PERC.TEAM.SHOTS,PERC.TEAM.PTS,PTSPG
OHL,2017-18 Regular Season,Matthew Struthers,F,Y,North Bay Battalion,6.02,1999-12-26,62,23,11,11,45,34,548,0.06,165,2584,0.14,0.06,0.06,0.73
OHL,2017-18 Regular Season,Nick Suzuki,F,N,Owen Sound Attack,5.11,1999-08-10,64,42,34,24,100,76,548,0.14,282,2584,0.15,0.11,0.13,1.56
OHL,2017-18 Regular Season,Sean Durzi,D,N,Owen Sound Attack,5.11,1998-10-21,40,15,13,21,49,28,548,0.05,122,2584,0.12,0.05,0.07,1.23
OHL,2017-18 Regular Season,Nick Deakin-Poot,F,N,Guelph Storm,6.04,1999-01-28,2,0,0,1,1,0,438,0,0,2584,,0,0,0.5
OHL,2017-18 Regular Season,Justin Brazeau,F,N,North Bay Battalion,6.05,1998-02-02,68,39,28,8,75,67,398,0.17,265,2584,0.15,0.1,0.14,1.1
OHL,2017-18 Regular Season,Brad Chenier,F,N,North Bay Battalion,5.11,1999-01-20,66,17,8,6,31,25,398,0.06,123,2584,0.14,0.05,0.06,0.47
OHL,2017-18 Regular Season,Sullivan Sparkes,F,N,Oshawa Generals,5.11,1999-05-04,4,0,0,0,0,0,468,0,5,2584,0,0,0,0
OHL,2017-18 Regular Season,Christian Girhiny,F,N,Erie Otters,5.11,1998-08-21,56,10,9,6,25,19,421,0.05,120,2584,0.08,0.05,0.04,0.45
OHL,2017-18 Regular Season,Ivan Lodnia,F,N,Erie Otters,5.10,1999-08-31,62,22,25,12,59,47,421,0.11,216,2584,0.1,0.08,0.1,0.95
OHL,2017-18 Regular Season,Brett Neumann,F,N,Kingston Frontenacs,5.08,1999-02-15,68,18,15,9,42,33,458,0.07,218,2584,0.08,0.08,0.07,0.62
OHL,2017-18 Regular Season,Jordan Sambrook,D,N,Erie Otters,6.02,1998-04-11,67,10,11,18,39,21,610,0.03,125,2584,0.08,0.05,0.05,0.58
OHL,2017-18 Regular Season,Josh Wainman,D,N,Erie Otters,6.00,1999-02-20,67,4,2,10,16,6,421,0.01,75,2584,0.05,0.03,0.03,0.24
OHL,2017-18 Regular Season,Nick Isaacson,F,N,Peterborough Petes,6.02.,1999-08-11,29,3,2,2,7,5,425,0.01,47,2584,0.06,0.02,0.01,0.24
OHL,2017-18 Regular Season,Nate Schnarr,F,N,Guelph Storm,6.03,1999-02-25,57,16,15,8,39,31,438,0.07,143,2584,0.11,0.06,0.06,0.68
OHL,2017-18 Regular Season,Ian McKinnon,F,N,London Knights,6.02,1998-03-05,45,0,3,2,5,3,442,0.01,50,2584,0,0.02,0.01,0.11
OHL,2017-18 Regular Season,Ryan McLeod,F,Y,Mississauga Steelheads,6.02,1999-09-21,68,26,24,20,70,50,476,0.11,165,2584,0.16,0.06,0.11,1.03
OHL,2017-18 Regular Season,Macauley Carson,F,N,Sudbury Wolves,6.02,1999-03-12,48,11,10,4,25,21,380,0.06,72,2584,0.15,0.03,0.05,0.52
OHL,2017-18 Regular Season,Shane Bulitka,F,N,Sudbury Wolves,5.11,1999-07-09,67,10,14,9,33,24,380,0.06,95,2584,0.11,0.04,0.06,0.49
OHL,2017-18 Regular Season,Ben Garagan,F,N,Hamilton Bulldogs,5.11,1999-01-06,50,1,3,4,8,4,487,0.01,46,2584,0.02,0.02,0.01,0.16
OHL,2017-18 Regular Season,Drake Pilon,F,N,Sudbury Wolves,5.10,1998-10-02,63,16,9,4,29,25,380,0.07,103,2584,0.16,0.04,0.06,0.46
OHL,2017-18 Regular Season,Darian Pilon,F,N,Sudbury Wolves,5.10,1998-10-02,62,13,12,8,33,25,380,0.07,119,2584,0.11,0.05,0.06,0.53
OHL,2017-18 Regular Season,Alan Lyszczarczyk,F,N,Owen Sound Attack,6.00,1998-02-17,59,21,9,11,41,30,548,0.05,170,2584,0.12,0.07,0.05,0.69
OHL,2017-18 Regular Season,Cal Davis,F,N,Kingston Frontenacs,6.01,1999-03-21,15,2,0,0,2,2,458,0,14,2584,0.14,0.01,0,0.13
OHL,2017-18 Regular Season,Joshua Dame,F,N,Niagara IceDogs,5.09,1998-03-05,13,1,2,1,4,3,466,0.01,7,2584,0.14,0,0.01,0.31
OHL,2017-18 Regular Season,Anthony DeMeo,D,N,Sault Ste. Marie Greyhounds,6.00,1999-06-16,67,1,5,12,18,6,610,0.01,49,2584,0.02,0.02,0.02,0.27
OHL,2017-18 Regular Season,Theo Calvas,D,N,Sarnia Sting,6.04,1998-08-06,68,3,10,10,23,13,573,0.02,79,2584,0.04,0.03,0.03,0.34
OHL,2017-18 Regular Season,Morgan Frost,F,N,Sault Ste. Marie Greyhounds,6.00,1999-05-14,67,42,45,25,112,87,610,0.14,201,2584,0.21,0.08,0.13,1.67
OHL,2017-18 Regular Season,Conor Timmins,D,N,Sault Ste. Marie Greyhounds,6.02,1998-09-18,36,8,19,14,41,27,610,0.04,93,2584,0.09,0.04,0.05,1.14
OHL,2017-18 Regular Season,Liam Hawel,F,N,Guelph Storm,6.05,1999-04-18,62,14,15,12,41,29,438,0.07,111,2584,0.13,0.04,0.07,0.66
OHL,2017-18 Regular Season,William Lochead,D,N,Niagara IceDogs,6.00,1998-03-30,55,5,2,2,9,7,466,0.02,71,2584,0.07,0.03,0.01,0.16
OHL,2017-18 Regular Season,Zachary Magwood,F,N,Barrie Colts,5.10,1998-04-22,65,27,23,9,59,50,576,0.09,148,2584,0.18,0.06,0.07,0.91
OHL,2017-18 Regular Season,Kade Landry,D,N,Barrie Colts,6.01,1999-05-03,61,4,10,13,27,14,487,0.03,105,2584,0.04,0.04,0.04,0.44
OHL,2017-18 Regular Season,Greg Meireles,F,N,Kitchener Rangers,5.10,1999-01-01,55,13,6,11,30,19,469,0.04,114,2584,0.11,0.04,0.05,0.55
OHL,2017-18 Regular Season,Calvin Martin,F,Y,Sault Ste. Marie Greyhounds,6.00,1999-09-16,19,1,0,0,1,1,610,0,14,2584,0.07,0.01,0,0.05
OHL,2017-18 Regular Season,Zachary Roberts,F,N,Owen Sound Attack,6.00,1999-08-04,23,3,2,3,8,5,548,0.01,38,2584,0.08,0.01,0.01,0.35
OHL,2017-18 Regular Season,Aidan McFarland,F,N,Mississauga Steelheads,5.11,1999-04-05,4,0,0,0,0,0,476,0,3,2584,0,0,0,0
OHL,2017-18 Regular Season,Tyler Burnie,F,N,Kingston Frontenacs,6.04,1999-02-09,55,17,5,7,29,22,458,0.05,108,2584,0.16,0.04,0.05,0.53
OHL,2017-18 Regular Season,Cedric Ralph,F,N,Guelph Storm,5.09,1999-01-21,68,24,9,3,36,33,438,0.08,104,2584,0.23,0.04,0.06,0.53
OHL,2017-18 Regular Season,Conor Ali,D,N,Kingston Frontenacs,6.00,1999-03-09,65,0,5,5,10,5,380,0.01,34,2584,0,0.01,0.02,0.15
OHL,2017-18 Regular Season,Serron Noel,F,Y,Oshawa Generals,6.05,2000-08-08,62,28,14,11,53,42,468,0.09,105,2584,0.27,0.04,0.08,0.85
OHL,2017-18 Regular Season,Giovanni Vallati,D,Y,Kitchener Rangers,6.02,2000-02-21,65,3,8,15,26,11,469,0.02,56,2584,0.05,0.02,0.04,0.4
OHL,2017-18 Regular Season,Riley Damiani,F,Y,Kitchener Rangers,5.10,2000-03-20,64,19,12,6,37,31,469,0.07,172,2584,0.11,0.07,0.06,0.58
OHL,2017-18 Regular Season,Adam McMaster,F,Y,North Bay Battalion,5.10,2000-02-24,64,9,13,6,28,22,398,0.06,135,2584,0.07,0.05,0.05,0.44
OHL,2017-18 Regular Season,Adam Thilander,D,N,North Bay Battalion,6.00,1998-09-18,68,12,15,15,42,27,398,0.07,184,2584,0.07,0.07,0.08,0.62
OHL,2017-18 Regular Season,Eemeli Rasanen,D,N,Kingston Frontenacs,6.07,1999-03-06,61,5,9,19,33,14,458,0.03,100,2584,0.05,0.04,0.05,0.54
OHL,2017-18 Regular Season,Danil Antropov,F,N,Oshawa Generals,6.01,2000-12-20,59,15,10,6,31,25,468,0.05,69,2584,0.22,0.03,0.05,0.53
OHL,2017-18 Regular Season,Max Grondin,F,Y,Saginaw Spirit,6.03,2000-07-04,66,11,11,5,27,22,379,0.06,98,2584,0.11,0.04,0.05,0.41
OHL,2017-18 Regular Season,Damien Giroux,F,Y,Saginaw Spirit,5.10,2000-03-03,68,19,13,11,43,32,379,0.08,133,2584,0.14,0.05,0.08,0.63
OHL,2017-18 Regular Season,Eric Guest,F,Y,Kitchener Rangers,5.08,2000-04-25,43,6,3,1,10,9,469,0.02,45,2584,0.13,0.02,0.02,0.23
OHL,2017-18 Regular Season,Gianluca Fuoco,F,N,Erie Otters,6.02,1999-01-01,1,0,0,0,0,0,421,0,0,2584,,0,0,0
OHL,2017-18 Regular Season,Alex Peterson,D,N,Kitchener Rangers,6.02,1999-05-26,7,0,0,0,0,0,469,0,3,2584,0,0,0,0
OHL,2017-18 Regular Season,Cedric Schiemenz,F,N,Windsor Spitfires,5.11,1999-03-01,25,1,5,4,10,6,400,0.02,22,2584,0.05,0.01,0.02,0.4
OHL,2017-18 Regular Season,Rhys Forhan,F,Y,North Bay Battalion,5.10,2000-01-17,38,1,4,2,7,5,398,0.01,41,2584,0.02,0.02,0.01,0.18
OHL,2017-18 Regular Season,Linus Nyman,F,N,Kingston Frontenacs,5.10,1999-07-11,67,39,26,20,85,65,458,0.14,195,2584,0.2,0.08,0.13,1.27
OHL,2017-18 Regular Season,Nathan Dunkley,F,Y,Kingston Frontenacs,5.11,2000-03-05,60,21,20,16,57,41,442,0.09,110,2584,0.19,0.04,0.1,0.95
OHL,2017-18 Regular Season,Sergey Popov,F,Y,Kingston Frontenacs,5.11,2000-03-27,63,10,9,5,24,19,442,0.04,114,2584,0.09,0.04,0.04,0.38
OHL,2017-18 Regular Season,Ryan Merkley,D,Y,Guelph Storm,5.11,2000-08-14,63,13,36,18,67,49,438,0.11,144,2584,0.09,0.06,0.11,1.06
OHL,2017-18 Regular Season,Luke Moncada,F,Y,North Bay Battalion,6.00,2000-05-29,67,9,9,6,24,18,398,0.05,81,2584,0.11,0.03,0.04,0.36
OHL,2017-18 Regular Season,Albert Michnac,F,N,Mississauga Steelheads,5.11,1998-10-18,59,21,16,23,60,37,476,0.08,167,2584,0.13,0.06,0.09,1.02
OHL,2017-18 Regular Season,Dmitri Samorukov,D,N,Guelph Storm,6.02,1999-06-16,62,11,10,13,34,21,438,0.05,141,2584,0.08,0.05,0.06,0.55
OHL,2017-18 Regular Season,Alex Gritz,F,Y,Erie Otters,6.0,2000-09-15,67,13,7,10,30,20,421,0.05,97,2584,0.13,0.04,0.05,0.45
OHL,2017-18 Regular Season,Barrett Hayton,F,Y,Sault Ste. Marie Greyhounds,6.01,2000-06-09,63,21,23,16,60,44,610,0.07,158,2584,0.13,0.06,0.07,0.95
OHL,2017-18 Regular Season,Liam Foudy,F,Y,London Knights,6.01,2000-02-04,65,24,10,6,40,34,442,0.08,136,2584,0.18,0.05,0.07,0.62
OHL,2017-18 Regular Season,Jacob Golden,D,N,London Knights,6.00,1999-03-20,63,2,4,8,14,6,442,0.01,73,2584,0.03,0.03,0.02,0.22
OHL,2017-18 Regular Season,Ian Blacker,D,N,Oshawa Generals,6.04,1999-05-27,48,1,3,2,6,4,468,0.01,29,2584,0.03,0.01,0.01,0.12
OHL,2017-18 Regular Season,Richard Whittaker,F,Y,London Knights,6.00,2000-04-08,54,5,4,4,13,9,442,0.02,47,2584,0.11,0.02,0.02,0.24
OHL,2017-18 Regular Season,Billy Moskal,F,Y,London Knights,6.00,2000-03-22,66,7,12,7,26,19,442,0.04,71,2584,0.1,0.03,0.04,0.39
OHL,2017-18 Regular Season,Cole Tymkin,F,N,London Knights,6.01,1999-04-05,58,8,13,5,26,21,442,0.05,84,2584,0.1,0.03,0.04,0.45
OHL,2017-18 Regular Season,Alex Formenton,F,N,London Knights,6.02,1999-09-13,48,29,9,10,48,38,442,0.09,175,2584,0.17,0.07,0.08,1
OHL,2017-18 Regular Season,Josh Nelson,F,N,London Knights,5.11,1999-05-27,65,8,5,2,15,13,442,0.03,56,2584,0.14,0.02,0.03,0.23
OHL,2017-18 Regular Season,Connor Roberts,F,Y,Flint Firebirds,6.04,2000-02-22,66,18,13,4,35,31,487,0.06,131,2584,0.14,0.05,0.05,0.53
OHL,2017-18 Regular Season,Adam Ruzicka,F,N,Sarnia Sting,6.04,1999-05-11,63,36,25,11,72,61,573,0.11,236,2584,0.15,0.09,0.09,1.14
OHL,2017-18 Regular Season,Sean Josling,F,N,Sarnia Sting,5.11,1999-03-22,68,21,11,6,38,32,573,0.06,146,2584,0.14,0.06,0.05,0.56
OHL,2017-18 Regular Season,Curtis Egert,F,N,Sarnia Sting,6.00,1999-02-04,35,4,1,5,10,5,573,0.01,42,2584,0.1,0.02,0.01,0.29
OHL,2017-18 Regular Season,Kelton Hatcher,D,N,Sarnia Sting,6.02,1999-04-19,62,0,4,7,11,4,573,0.01,38,2584,0,0.01,0.01,0.18
OHL,2017-18 Regular Season,Jordan Ernst,F,N,Sarnia Sting,6.01,1997-06-18,68,27,20,7,54,47,573,0.08,224,2584,0.12,0.09,0.07,0.79
OHL,2017-18 Regular Season,Tyler Tucker,D,Y,Barrie Colts,6.01,2000-03-01,59,3,7,13,23,10,576,0.02,103,2584,0.03,0.04,0.03,0.39
OHL,2017-18 Regular Season,Christopher Cameron,D,N,Barrie Colts,6.04,1999-05-29,63,2,3,6,11,5,576,0.01,49,2584,0.04,0.02,0.01,0.17
OHL,2017-18 Regular Season,Jason Willms,F,N,Barrie Colts,6.00,1999-02-08,68,27,25,7,59,52,576,0.09,198,2584,0.14,0.08,0.07,0.87
OHL,2017-18 Regular Season,Peter Stratis,D,Y,Ottawa 67's,6.00,2000-01-18,67,6,8,11,25,14,380,0.04,86,2584,0.07,0.03,0.05,0.37
OHL,2017-18 Regular Season,Carter Robertson,D,Y,Ottawa 67's,6.02,2000-01-15,57,5,6,7,18,11,423,0.03,68,2584,0.07,0.03,0.03,0.32
OHL,2017-18 Regular Season,Kevin Bahl,D,Y,Ottawa 67's,6.06,2000-06-27,58,1,8,9,18,9,423,0.02,58,2584,0.02,0.02,0.03,0.31
OHL,2017-18 Regular Season,Kody Clark,F,Y,Ottawa 67's,6.01,1999-10-13,56,18,13,8,39,31,423,0.07,128,2584,0.14,0.05,0.07,0.7
OHL,2017-18 Regular Season,Michael Little,F,Y,Mississauga Steelheads,6.00,2000-02-21,65,14,9,5,28,23,476,0.05,106,2584,0.13,0.04,0.04,0.43
OHL,2017-18 Regular Season,Jacob Moverare,D,N,Mississauga Steelheads,6.02,1998-08-31,32,3,8,10,21,11,476,0.02,54,2584,0.06,0.02,0.03,0.66
OHL,2017-18 Regular Season,Akil Thomas,F,Y,Niagara IceDogs,5.11,2000-01-02,68,22,31,28,81,53,466,0.11,198,2584,0.11,0.08,0.13,1.19
OHL,2017-18 Regular Season,Maksim Sushko,F,N,Owen Sound Attack,6.00,1999-02-10,60,31,16,13,60,47,548,0.09,144,2584,0.22,0.06,0.08,1
OHL,2017-18 Regular Season,Brock Hill,D,N,Saginaw Spirit,6.03,1999-01-27,22,0,3,2,5,3,379,0.01,9,2584,0,0,0.01,0.23
OHL,2017-18 Regular Season,William Ennis,D,Y,Oshawa Generals,6.03,2000-05-31,66,1,1,9,11,2,468,0,42,2584,0.02,0.02,0.02,0.17
OHL,2017-18 Regular Season,Riley McCourt,D,Y,Flint Firebirds,5.11,2000-06-26,56,5,6,11,22,11,487,0.02,59,2584,0.08,0.02,0.03,0.39
OHL,2017-18 Regular Season,Emmett Gordon,D,Y,Kingston Frontenacs,5.11,2000-01-31,44,0,1,1,2,1,458,0,20,2584,0,0.01,0,0.05
OHL,2017-18 Regular Season,Marian Studenic,F,N,Hamilton Bulldogs,6.01,1998-10-28,62,20,19,9,48,39,487,0.08,145,2584,0.14,0.06,0.07,0.77
OHL,2017-18 Regular Season,Justin Pringle,F,Y,Kingston Frontenacs,6.00,2000-03-08,25,3,1,0,4,4,458,0.01,17,2584,0.18,0.01,0.01,0.16
OHL,2017-18 Regular Season,Zachary Jackson,F,N,Hamilton Bulldogs,6.03,1999-01-11,42,3,2,2,7,5,487,0.01,24,2584,0.12,0.01,0.01,0.17
OHL,2017-18 Regular Season,Paul Larabie,F,Y,Kingston Frontenacs,6.00,2000-01-28,51,0,3,6,9,3,458,0.01,34,2584,0,0.01,0.01,0.18
OHL,2017-18 Regular Season,Colin Van Den Hurk,D,N,Kingston Frontenacs,5.11,1999-05-26,1,0,0,0,0,0,458,0,0,2584,,0,0,0
OHL,2017-18 Regular Season,Isaac Nurse,F,N,Hamilton Bulldogs,5.11,1999-03-16,68,17,9,4,30,26,487,0.05,120,2584,0.14,0.05,0.04,0.44
OHL,2017-18 Regular Season,Riley Coome,D,N,London Knights,6.04,1999-07-07,61,0,1,4,5,1,442,0,45,2584,0,0.02,0.01,0.08
OHL,2017-18 Regular Season,Mitchell Hoelscher,F,Y,Ottawa 67's,6.00,2000-01-27,67,10,12,6,28,22,423,0.05,105,2584,0.1,0.04,0.05,0.42
OHL,2017-18 Regular Season,Barret Kirwin,F,Y,Guelph Storm,5.08,2000-02-18,68,13,12,6,31,25,438,0.06,120,2584,0.11,0.05,0.05,0.46
OHL,2017-18 Regular Season,Liam Ham,D,N,Niagara IceDogs,5.10,1999-02-03,63,6,15,11,32,21,466,0.05,108,2584,0.06,0.04,0.05,0.51
OHL,2017-18 Regular Season,Ondrej Machala,F,N,Niagara IceDogs,6.00,1999-01-11,17,1,2,1,4,3,466,0.01,33,2584,0.03,0.01,0.01,0.24
OHL,2017-18 Regular Season,Ty Dellandrea,F,Y,Flint Firebirds,6.00,2000-07-21,67,27,20,12,59,47,360,0.13,239,2584,0.11,0.09,0.12,0.88
OHL,2017-18 Regular Season,Kyle Bollers,F,N,Saginaw Spirit,5.11,1999-03-12,56,8,4,6,18,12,379,0.03,84,2584,0.1,0.03,0.03,0.32
OHL,2017-18 Regular Season,Jake Durham,F,N,Flint Firebirds,5.10,1999-04-07,68,8,14,8,30,22,360,0.06,106,2584,0.08,0.04,0.06,0.44
OHL,2017-18 Regular Season,Danial Singer,F,N,Niagara IceDogs,5.07,1999-02-10,67,26,11,11,48,37,466,0.08,156,2584,0.17,0.06,0.07,0.72
OHL,2017-18 Regular Season,Justin MacPherson,D,Y,Niagara IceDogs,6.01,2000-06-23,66,0,7,10,17,7,466,0.02,63,2584,0,0.02,0.03,0.26
OHL,2017-18 Regular Season,Drew Hunter,D,N,Niagara IceDogs,6.03,1999-02-06,51,4,5,1,10,9,466,0.02,62,2584,0.06,0.02,0.02,0.2
OHL,2017-18 Regular Season,Matthew Philip,F,N,Niagara IceDogs,5.11,1999-05-31,68,16,15,6,37,31,466,0.07,145,2584,0.11,0.06,0.06,0.54
OHL,2017-18 Regular Season,Kyle Heitzner,F,N,Barrie Colts,5.10,1999-07-17,58,5,6,2,13,11,576,0.02,54,2584,0.09,0.02,0.02,0.22
OHL,2017-18 Regular Season,Jaden Peca,F,N,Barrie Colts,5.11,1999-04-18,64,16,19,12,47,35,576,0.06,102,2584,0.16,0.04,0.06,0.73
OHL,2017-18 Regular Season,Hunter Holmes,F,Y,Flint Firebirds,6.01,2000-01-25,40,11,7,2,20,18,360,0.05,73,2584,0.15,0.03,0.04,0.5
OHL,2017-18 Regular Season,Ryan Littlejohn,F,Y,Flint Firebirds,6.02,2000-02-11,65,3,4,4,11,7,360,0.02,33,2584,0.09,0.01,0.02,0.17
OHL,2017-18 Regular Season,Jack Phibbs,F,N,Flint Firebirds,5.11,1999-03-05,55,3,5,3,11,8,360,0.02,69,2584,0.04,0.03,0.02,0.2
OHL,2017-18 Regular Season,Dennis Busby,D,Y,Flint Firebirds,5.11,2000-01-06,2,0,0,0,0,0,360,0,0,2584,,0,0,0
OHL,2017-18 Regular Season,Liam Peyton,F,Y,Kitchener Rangers,6.00,2000-03-30,3,0,0,0,0,0,469,0,3,2584,0,0,0,0
OHL,2017-18 Regular Season,Austin McEneny,D,N,Kitchener Rangers,5.11,1997-04-10,61,6,11,13,30,17,469,0.04,85,2584,0.07,0.03,0.05,0.49
OHL,2017-18 Regular Season,Tyler Angle,F,N,Windsor Spitfires,5.09,2000-09-30,67,10,4,3,17,14,400,0.04,113,2584,0.09,0.04,0.03,0.25
OHL,2017-18 Regular Season,Connor Corcoran,D,Y,Windsor Spitfires,6.02,2000-08-07,63,3,9,12,24,12,400,0.03,94,2584,0.03,0.04,0.04,0.38
OHL,2017-18 Regular Season,Chris Playfair,F,Y,Windsor Spitfires,6.01,2000-05-31,66,5,7,5,17,12,400,0.03,64,2584,0.08,0.02,0.03,0.26
OHL,2017-18 Regular Season,Cole Purboo,F,N,Windsor Spitfires,6.03,1999-06-18,68,21,20,8,49,41,400,0.1,172,2584,0.12,0.07,0.09,0.72
OHL,2017-18 Regular Season,Cole Cameron,D,N,Owen Sound Attack,5.11,1998-05-09,66,1,3,7,11,4,548,0.01,55,2584,0.02,0.02,0.01,0.17
OHL,2017-18 Regular Season,Luke Beamish,D,Y,Erie Otters,5.10,2000-06-15,39,0,5,2,7,5,548,0.01,16,2584,0,0.01,0.01,0.18
OHL,2017-18 Regular Season,Aidan Dudas,F,Y,Owen Sound Attack,5.08,2000-06-15,68,31,20,14,65,51,548,0.09,221,2584,0.14,0.09,0.09,0.96
OHL,2017-18 Regular Season,Shaw Boomhower,F,N,Mississauga Steelheads,5.11,1998-10-31,39,9,4,3,16,13,476,0.03,59,2584,0.15,0.02,0.02,0.41
OHL,2017-18 Regular Season,Jacob LeGuerrier,D,N,Sault Ste. Marie Greyhounds,6.02,2000-11-22,62,0,5,6,11,5,610,0.01,46,2584,0,0.02,0.01,0.18
OHL,2017-18 Regular Season,Holden Wale,D,Y,Sault Ste. Marie Greyhounds,6.00,2000-07-28,37,1,1,2,4,2,610,0,18,2584,0.06,0.01,0,0.11
OHL,2017-18 Regular Season,Brady Hinz,F,Y,Peterborough Petes,5.08,2000-05-03,68,18,16,8,42,34,573,0.06,99,2584,0.18,0.04,0.05,0.62
OHL,2017-18 Regular Season,Pavel Gogolev,F,Y,Peterborough Petes,6.00,2000-02-19,66,30,10,7,47,40,425,0.09,183,2584,0.16,0.07,0.08,0.71
OHL,2017-18 Regular Season,Semyon Der-Arguchintsev,F,Y,Peterborough Petes,5.10,2000-09-15,68,12,20,19,51,32,425,0.08,102,2584,0.12,0.04,0.09,0.75
OHL,2017-18 Regular Season,Declan Chisholm,D,Y,Peterborough Petes,6.00,2000-01-12,47,3,9,8,20,12,425,0.03,46,2584,0.07,0.02,0.04,0.43
OHL,2017-18 Regular Season,Matyas Svoboda,F,N,Peterborough Petes,6.03,1999-01-02,34,2,0,2,4,2,425,0,25,2584,0.08,0.01,0.01,0.12
OHL,2017-18 Regular Season,Owen Lalonde,D,Y,Guelph Storm,6.01,2000-02-01,67,1,10,11,22,11,438,0.03,59,2584,0.02,0.02,0.04,0.33
OHL,2017-18 Regular Season,Owen Gilhula,F,Y,Sudbury Wolves,5.10,2000-05-11,52,6,6,1,13,12,380,0.03,67,2584,0.09,0.03,0.03,0.25
OHL,2017-18 Regular Season,Dawson Baker,F,Y,Sudbury Wolves,6.00,2000-04-10,61,6,5,2,13,11,380,0.03,78,2584,0.08,0.03,0.03,0.21
OHL,2017-18 Regular Season,Kyle Gentles,D,N,Kitchener Rangers,6.00,1998-05-30,60,2,5,4,11,7,469,0.01,44,2584,0.05,0.02,0.02,0.18
OHL,2017-18 Regular Season,Matthew Titus,F,N,Mississauga Steelheads,6.02,1999-05-15,11,0,0,0,0,0,476,0,9,2584,0,0,0,0
OHL,2017-18 Regular Season,Eric Allair,D,N,North Bay Battalion,6.00,1999-07-01,13,0,1,0,1,1,398,0,12,2584,0,0,0,0.08
OHL,2017-18 Regular Season,Alex Robert,F,N,North Bay Battalion,6.00,1999-07-06,30,0,0,0,0,0,398,0,16,2584,0,0.01,0,0
OHL,2017-18 Regular Season,Daniel Walker,F,N,North Bay Battalion,6.04,1999-05-18,35,7,3,0,10,10,398,0.03,74,2584,0.09,0.03,0.02,0.29
OHL,2017-18 Regular Season,Renars Krastenbergs,F,N,Oshawa Generals,6.00,1998-12-26,61,21,9,8,38,30,468,0.06,164,2584,0.13,0.06,0.06,0.62
OHL,2017-18 Regular Season,Curtis Douglas,F,Y,Barrie Colts,6.08,2000-03-06,66,22,13,11,46,35,400,0.09,162,2584,0.14,0.06,0.09,0.7
OHL,2017-18 Regular Season,Oliver Castleman,F,N,Niagara IceDogs,5.10,1999-09-15,64,12,8,7,27,20,466,0.04,98,2584,0.12,0.04,0.04,0.42
OHL,2017-18 Regular Season,Ryan Smith,F,N,Niagara IceDogs,6.00,1999-06-04,1,0,0,0,0,0,466,0,0,2584,,0,0,0
OHL,2017-18 Regular Season,Andrew Somerville,D,N,Guelph Storm,5.10,1999-07-30,5,0,0,0,0,0,438,0,1,2584,0,0,0,0
OHL,2017-18 Regular Season,Ryan Martin,D,N,Erie Otters,6.00,1999-06-14,53,2,3,8,13,5,421,0.01,39,2584,0.05,0.02,0.02,0.25
OHL,2017-18 Regular Season,Aidan Timmermans,D,Y,Erie Otters,5.07,2000-04-27,38,1,1,3,5,2,421,0,32,2584,0.03,0.01,0.01,0.13
OHL,2017-18 Regular Season,Carson Edwardson,F,N,Erie Otters,5.11,1999-06-09,24,5,3,0,8,8,421,0.02,32,2584,0.16,0.01,0.01,0.33
OHL,2017-18 Regular Season,Allan McShane,F,Y,Oshawa Generals,5.11,2000-02-14,67,20,32,13,65,52,468,0.11,165,2584,0.12,0.06,0.1,0.97
OHL,2017-18 Regular Season,Jack Duff,D,Y,Erie Otters,6.02,2000-01-23,63,1,5,4,10,6,421,0.01,53,2584,0.02,0.02,0.02,0.16
OHL,2017-18 Regular Season,Gera Poddubnyi,F,N,Erie Otters,6.02,1999-06-09,65,18,8,10,36,26,421,0.06,160,2584,0.11,0.06,0.06,0.55
OHL,2017-18 Regular Season,Cade Robinson,F,Y,Erie Otters,6.01,1999-10-22,65,8,14,2,24,22,548,0.04,88,2584,0.09,0.03,0.03,0.37
OHL,2017-18 Regular Season,Quinn Yule,F,Y,Ottawa 67's,6.05,2000-01-06,60,6,4,2,12,10,423,0.02,54,2584,0.11,0.02,0.02,0.2
OHL,2017-18 Regular Season,Braden Henderson,D,Y,North Bay Battalion,5.10,2000-05-14,46,0,5,4,9,5,573,0.01,37,2584,0,0.01,0.01,0.2
OHL,2017-18 Regular Season,Kirill Nizhnikov,F,Y,Barrie Colts,6.01,2000-03-29,63,10,15,10,35,25,380,0.07,172,2584,0.06,0.07,0.07,0.56
OHL,2017-18 Regular Season,Ryan O'Bonsawin,D,N,Sudbury Wolves,6.00,1999-03-13,8,1,0,1,2,1,380,0,8,2584,0.12,0,0,0.25
OHL,2017-18 Regular Season,Chet Phillips,D,Y,Saginaw Spirit,5.11,2000-07-10,12,0,0,0,0,0,379,0,9,2584,0,0,0,0
OHL,2017-18 Regular Season,Joey Keane,D,N,Barrie Colts,6.00,1999-07-02,62,12,15,17,44,27,576,0.05,154,2584,0.08,0.06,0.06,0.71
OHL,2017-18 Regular Season,Matt McNamara,D,Y,Peterborough Petes,6.00,2000-05-10,49,1,3,2,6,4,425,0.01,44,2584,0.02,0.02,0.01,0.12
OHL,2017-18 Regular Season,Alex Turko,F,N,London Knights,6.01,1999-01-07,54,3,6,3,12,9,442,0.02,40,2584,0.08,0.02,0.02,0.22
